text,intent,escalation_required,language_style,difficulty,scenario_type,notes,tags
I've sent five emails and nobody has replied.,complaint,true,,,,escalation hard positive,"[""escalation_positive"", ""hard_positive""]"
My bank statement shows a charge I did not authorize.,account_issue,true,,,,v3 bulk esc+,"[""escalation_positive""]"
Maine bahut wait kiya but koi farak nahi pada.,complaint,false,,,,hinglish complaint,"[""hinglish""]"
Does it support custom CSS?,product_question,false,,,,product feature question,"[""standard""]"
I have a service level agreement and you are violating it.,complaint,true,,,,v3 bulk esc+,"[""escalation_positive""]"
Mera API rate limit exceed ho gaya. Badhao.,technical_support,false,,,,hinglish example,"[""hinglish""]"
Can I integrate with Microsoft Teams?,product_question,false,,,,v3 balance,"[""standard""]"
This isn't a support ticket. It's just a comment.,other,false,,,,v3 bulk esc-,"[""hard_negative_escalation""]"
the drag feature is not wrking on the dashbrd,technical_support,false,,,,v3 bulk noisy3,"[""noisy""]"
I want a supervisor to personally review my case.,human_request,true,,,,v3 bulk esc+,"[""escalation_positive""]"
Can role management be disabled?,general_question,false,,,,bulk addition 4,"[""standard""]"
My entire team is blocked. We need immediate assistance.,technical_support,true,,,,escalation hard positive,"[""escalation_positive"", ""hard_positive""]"
What do I do if I forget my password?,general_question,false,,,,v3 info vs action,"[""standard""]"
Does the API support batch operations?,product_question,false,,,,v3 balance3,"[""standard""]"
Not happy,complaint,false,,,,very short message,[]
Reset my password now. I can't wait.,account_issue,true,,,,v3 info vs action,"[""standard""]"
Aapka refund process kaise kaam karta hai?,refund,false,,,,hinglish example,"[""hinglish""]"
Bahut disappointing experience hai.,complaint,false,,,,hinglish complaint,"[""hinglish""]"
I am extremely let down by your company.,complaint,false,,,,general complaint,"[""standard"", ""complaint""]"
I get an error when using The calendar sync.,technical_support,false,,,,bulk addition 4,"[""standard""]"
This is a terrible product. Absolutely useless.,complaint,false,,,,confusion pair example,"[""confusion_pair""]"
Do I pay extra for the enterprise add-on?,pricing,false,,,,bulk addition 4,"[""standard""]"
How much for advanced analytics?,pricing,false,,,,v3 bulk pricing,"[""standard"", ""pricing""]"
How does import features affect my account?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
Do you have a pay-per-use model?,pricing,false,,,,bulk addition 2,"[""standard""]"
What a beautiful day!,other,false,,,,bulk addition 3,"[""standard""]"
I need someone to help me fix my account,account_issue,false,,,,v4 confusion,"[""confusion_pair""]"
This is exactly what I needed.,other,false,,,,bulk addition,"[""standard""]"
aapke yaha annual plan pe kya discount hai,pricing,false,,,,v3 bulk hinglish,"[""hinglish""]"
I wanted to report a bug but also ask about something else. The bug is that when I try to export my report as PDF the formatting is completely messed up. Tables are overlapping and the fonts are all wrong. This used to work fine a few weeks ago. Also I was wondering if you have plans to add more chart types in the future? A radar chart would be really useful for my team. But the main thing is the PDF export bug which is affecting my weekly reporting.,technical_support,false,,,,long message,"[""long""]"
Is there a setup fee or is it included?,pricing,false,,,,v3 confusion: pricing vs sales,"[""standard""]"
i need 2 talk to a manager,human_request,true,,,,v4 noisy,"[""noisy""]"
the srch bar is not wrking,technical_support,false,,,,v3 noisy,"[""noisy""]"
Your export function is a complete disaster,complaint,false,,,,v3 confusion: tech vs complaint,"[""standard""]"
The calendar integration stopped syncing events.,technical_support,false,,,,technical issue,"[""standard"", ""technical""]"
Is dedicated server included in the base price?,pricing,false,,,,bulk addition 4,"[""standard""]"
Talk to a human about my account problem,human_request,true,,,,v3 bulk confusion,"[""standard""]"
The API returns HTTP 500 for valid requests,technical_support,true,,,,v3 bulk confusion,"[""standard""]"
Your service is down and I want compensation.,technical_support,true,,,,bulk addition 5,"[""multi_intent""]"
Call me,human_request,true,,,,very short message,[]
Payment declined.,technical_support,false,,,,v4 short,"[""standard""]"
What are the benefits of multi-factor auth?,general_question,false,,,,v3 bulk gq,"[""standard""]"
I want my money back for the add-on I didn't order.,refund,true,,,,bulk addition 5,"[""standard""]"
cancel kar sakte hain kab bhi?,general_question,false,,,,general info question,"[""standard""]"
I'm locked out of my account.,account_issue,false,,,,account issue,"[""standard"", ""account""]"
What is the purpose of user invitations?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
Mujhe bulk discount chahiye 50 users ke liye.,sales,false,,,,hinglish example,"[""hinglish""]"
Your auto-renewal charged me without warning.,refund,true,,,,bulk addition 3,"[""standard""]"
the sidebar navigation is giving me trouble.,technical_support,false,,,,v3 bulk tech3,"[""standard"", ""technical""]"
ur servis is the worst i ever had,complaint,false,,,,v3 bulk noisy,"[""noisy""]"
the buton is not workng,technical_support,false,,,,spelling/noisy text,"[""noisy""]"
Can you tell me about your pricing tiers?,pricing,false,,,,v3 info vs action,"[""standard""]"
What is the pricing for API-only access?,pricing,false,,,,v3 balance,"[""standard""]"
aapka software bahut complicated hai easy banao,complaint,false,,,,,"[""hinglish""]"
Please issue a refund for my recent payment.,refund,true,,,,refund demand,"[""escalation_positive"", ""refund""]"
aapki service se bahut disappointment hai,complaint,false,,,,,"[""hinglish""]"
This is the third outage this month. I demand reliability.,complaint,true,,,,v3 bulk esc+3,"[""escalation_positive""]"
My CSV import is failing with a generic error.,technical_support,false,,,,bulk addition,"[""standard""]"
I want a full refund including the setup fee.,refund,true,,,,bulk addition,"[""standard""]"
Mera payment method update nahi ho raha.,account_issue,false,,,,bulk addition 3,"[""hinglish""]"
the websit is not loadng,technical_support,false,,,,v3 noisy,"[""noisy""]"
I already fixed it. No human needed.,technical_support,false,,,,bulk addition 5,"[""hard_negative_escalation""]"
I need a human to help me purchase,sales,false,,,,v3 multi-intent,"[""multi_intent""]"
Is there a limit on how many projects I can create?,general_question,false,,,,v3 balance,"[""standard""]"
aapki app ke features kya hain,product_question,false,,,,,"[""hinglish""]"
I was logged out and now my password doesn't work.,account_issue,false,,,,bulk addition 2,"[""standard""]"
Can I schedule automatic reports?,product_question,false,,,,product feature question,"[""standard""]"
Where can I find documentation about the dashboard?,general_question,false,,,,v3 bulk gq,"[""standard""]"
Workflow automation beech mein ruk gaya.,technical_support,false,,,,hinglish technical support,"[""hinglish""]"
I'll be in touch.,other,false,,,,bulk addition 3,"[""standard""]"
Isme multiple currency support hai kya?,product_question,false,,,,hinglish product question,"[""hinglish""]"
Love the product,other,false,,,,bulk addition 5,"[""standard""]"
the app is frezzing everytim,technical_support,false,,,,spelling/noisy text,"[""noisy""]"
The notification system is not loading properly.,technical_support,false,,,,bulk addition 4,"[""standard""]"
i m very angy about the billing issue refund now,refund,true,,,,v3 bulk noisy,"[""noisy""]"
mujhe aapke product ki ek feature list chahiye,product_question,false,,,,,"[""hinglish""]"
Is there a way to export options?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
aapke yaha koi loyalty reward program hai kya,general_question,false,,,,v3 bulk hinglish,"[""hinglish""]"
Team plan ka quote bhej do.,sales,false,,,,hinglish example,"[""hinglish""]"
Mujhe refund chahiye aur account bhi fix karo,refund,true,,,,v3 multi-intent hinglish,"[""multi_intent"", ""hinglish""]"
I am unable to use the attachment preview correctly.,technical_support,false,,,,v3 bulk tech3,"[""standard"", ""technical""]"
I like turtles.,other,false,,,,bulk addition 2,"[""standard""]"
What is the purpose of data retention limits?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
I need a personal call back within the hour.,human_request,true,,,,bulk addition 2,"[""escalation_positive""]"
Maine apna password change kiya but login nahi ho raha.,account_issue,false,,,,bulk addition,"[""hinglish""]"
I'm deeply unsatisfied with the product quality.,complaint,false,,,,bulk addition 2,"[""standard""]"
Do I pay extra for training?,pricing,false,,,,v3 bulk pricing,"[""standard"", ""pricing""]"
Can I clone workflows?,product_question,false,,,,product feature question,"[""standard""]"
I'm locked out of my account and I'm really angry about it,account_issue,true,,,,v3 multi-intent,"[""multi_intent""]"
My issue was answered in the FAQ. All set.,general_question,false,,,,v3 bulk esc-,"[""hard_negative_escalation""]"
Does it support dependency tracking?,product_question,false,,,,v3 balance,"[""standard""]"
Do you offer different pricing tiers for user accounts?,pricing,false,,,,v3 bulk pricing2,"[""standard"", ""pricing""]"
customer portal is malfunctioning.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
i forgat my pasword,account_issue,false,,,,spelling/noisy text,"[""noisy""]"
Is there a way to auto-renewal?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
mera payment fail ho gaya but paisa kat liya,technical_support,true,,,,,"[""hinglish""]"
Is there a tutorial for real-time sync?,general_question,false,,,,v3 bulk gq,"[""standard""]"
What is included in your premium offering?,general_question,false,,,,v3 bulk confusion,"[""standard""]"
I will not pay this month's bill due to poor service.,complaint,true,,,,bulk addition 5,"[""escalation_positive""]"
user import stopped responding.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
How do I configure user management?,general_question,false,,,,v3 bulk gq3,"[""standard""]"
mujhe aapke software ke through report generate karni hai,product_question,false,,,,v3 bulk hinglish,"[""hinglish""]"
What languages do you support?,general_question,false,,,,general info question,"[""standard""]"
Please help me upgrade my account.,sales,false,,,,purchase intent,"[""standard"", ""sales""]"
I fixed the issue by restarting my browser. Thanks anyway.,technical_support,false,,,,v3 bulk resolution,"[""resolution_state""]"
aapki service ki quality improve karo,complaint,false,,,,v3 bulk hinglish,"[""hinglish""]"
Excellent support!,other,false,,,,v4 short,"[""standard""]"
the dasboard is not showin my corect data,technical_support,false,,,,v3 bulk noisy,"[""noisy""]"
My login credentials stopped working suddenly.,account_issue,false,,,,account issue,"[""standard"", ""account""]"
Mera account issue hai aur refund bhi chahiye.,refund,true,,,,multi-intent example,"[""multi_intent""]"
I have evidence of a data breach on your platform.,account_issue,true,,,,v3 esc hard pos,"[""escalation_positive""]"
Do I need to configure user permissions manually?,general_question,false,,,,bulk addition 4,"[""standard""]"
What time does your support team work?,general_question,false,,,,bulk addition,"[""standard""]"
Can I customize export options?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
This is affecting 200+ users in my organization.,technical_support,true,,,,v3 esc hard pos,"[""escalation_positive""]"
Mujhe kisi se baat nahi karni. Sirf information chahiye.,general_question,false,,,,escalation hard negative,"[""hard_negative_escalation""]"
No need to follow up. All sorted.,technical_support,false,,,,bulk addition 3,"[""hard_negative_escalation""]"
aapki team bahut helpful hai thank you,other,false,,,,v4 hinglish,"[""hinglish""]"
aapki app ne mera data corrupt kar diya,technical_support,true,,,,,"[""hinglish""]"
mera email notifications nahi aa raha,technical_support,false,,,,,"[""hinglish""]"
My account was accessed without my knowledge or consent.,account_issue,true,,,,v3 bulk esc+,"[""escalation_positive""]"
My account shows I'm logged in but nothing loads.,account_issue,false,,,,bulk addition 2,"[""standard""]"
i wnt a humen to hlp me,human_request,true,,,,v3 noisy,"[""noisy""]"
I do not consent to being contacted. Just reply in this thread.,general_question,false,,,,v3 esc hard neg,"[""hard_negative_escalation""]"
I get an error when using The backup system.,technical_support,false,,,,v3 bulk tech,"[""standard"", ""technical""]"
The API endpoint is not loading properly.,technical_support,false,,,,v3 bulk tech,"[""standard"", ""technical""]"
You don't need to call. Just reply here.,general_question,false,,,,bulk addition,"[""hard_negative_escalation""]"
aapka pricing page mujhe samajh nahi aa raha,pricing,false,,,,v3 bulk hinglish3,"[""hinglish""]"
Billing?,pricing,false,,,,very short message,[]
I need to update my business address on the account.,account_issue,false,,,,v3 balance,"[""standard""]"
I require a written explanation for this billing error.,pricing,true,,,,v3 esc hard pos,"[""escalation_positive""]"
Sign me up for the premium tier now.,sales,false,,,,v3 info vs action,"[""standard""]"
Refund my payment as per your 30-day policy.,refund,true,,,,v3 balance,"[""standard""]"
my team membr cant join the work,account_issue,false,,,,v4 noisy,"[""noisy""]"
I'm going to file a complaint with the BBB.,complaint,true,,,,bulk addition 3,"[""escalation_positive""]"
Is training included in the base price?,pricing,false,,,,v3 bulk pricing,"[""standard"", ""pricing""]"
I'm not leaving your platform. I'm just frustrated.,complaint,false,,,,v3 bulk negation,"[""negation""]"
i need a cal back asap its urgent,human_request,true,,,,v3 bulk noisy,"[""noisy""]"
Do you have automation features in your product?,general_question,false,,,,v3 confusion: product vs general,"[""standard""]"
mera invoice download karte waqt error aa raha hai,technical_support,false,,,,v3 bulk hinglish3,"[""hinglish""]"
Put me on the annual billing cycle.,sales,false,,,,purchase intent,"[""standard"", ""sales""]"
You guys are awesome!,other,false,,,,bulk addition,"[""standard""]"
Having issues with file preview.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
Does the API support real-time events?,product_question,false,,,,v3 balance,"[""standard""]"
2 factor auth not wrking,technical_support,false,,,,v3 noisy,"[""noisy""]"
Is there a chatbot included?,product_question,false,,,,product feature question,"[""standard""]"
How does the import tool work in your platform?,general_question,false,,,,bulk addition 4,"[""standard""]"
How do analytics work?,general_question,false,,,,general info question,"[""standard""]"
Nothing ever syncs properly on this platform,complaint,false,,,,v3 confusion: tech vs complaint,"[""standard""]"
the color picker is giving me trouble.,technical_support,false,,,,v3 bulk tech3,"[""standard"", ""technical""]"
aapki app ko Hindi support add karo,product_question,false,,,,,"[""hinglish""]"
Custom scripts kaam nahi kar rahe update ke baad.,technical_support,false,,,,hinglish technical support,"[""hinglish""]"
Charge?,pricing,false,,,,very short message,[]
No action needed. I was just providing feedback.,complaint,false,,,,v3 bulk esc-,"[""hard_negative_escalation""]"
Can I use your platform to send transactional emails?,product_question,false,,,,v3 bulk confusion,"[""standard""]"
Aap log customer ki value nahi karte.,complaint,false,,,,hinglish complaint,"[""hinglish""]"
mujhe aapke software ke through invoice generate karna hai,general_question,false,,,,,"[""hinglish""]"
You guys don't care about your customers at all.,complaint,false,,,,general complaint,"[""standard"", ""complaint""]"
i dnt kno hw 2 use this app,general_question,false,,,,v3 noisy,"[""noisy""]"
Can email notifications be disabled?,general_question,false,,,,bulk addition 4,"[""standard""]"
Can you guide me through the contact directory?,general_question,false,,,,v3 bulk gq3,"[""standard""]"
mujhe aapke product ki training chahiye,sales,false,,,,,"[""hinglish""]"
ticket routing stopped responding.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
How does the template system work in your platform?,general_question,false,,,,bulk addition 4,"[""standard""]"
i need a refnd 4 last munth,refund,true,,,,spelling/noisy text,"[""noisy""]"
This is not a complaint. This is constructive feedback.,other,false,,,,v3 bulk negation,"[""negation""]"
I am unable to proceed with my business operations due to this.,technical_support,true,,,,v3 bulk esc+,"[""escalation_positive""]"
ur servis is a scam i want my mony bak,complaint,true,,,,v3 noisy,"[""noisy""]"
Tell me about pricing for API calls.,pricing,false,,,,v3 bulk pricing2,"[""standard"", ""pricing""]"
Can your API handle webhook retries automatically?,product_question,false,,,,v3 bulk confusion,"[""standard""]"
Your analytics page is completely broken just like everything else,complaint,false,,,,v3 confusion: tech vs complaint,"[""standard""]"
Login button is not working properly.,technical_support,false,,,,technical issue,"[""standard"", ""technical""]"
aapka onboarding process bahut complicated hai,complaint,false,,,,,"[""hinglish""]"
Is there GDPR compliance features?,product_question,false,,,,bulk addition 2,"[""standard""]"
I'm having trouble with The CSV importer.,technical_support,false,,,,bulk addition 4,"[""standard""]"
aapke yaha custom integration kitne ka hai,pricing,false,,,,v3 bulk hinglish,"[""hinglish""]"
I'm having trouble with The template preview.,technical_support,false,,,,bulk addition 4,"[""standard""]"
aapke software mein kya kya features hain,product_question,false,,,,,"[""hinglish""]"
The notification system is not working.,technical_support,false,,,,bulk addition 4,"[""standard""]"
Meri auto-renewal band karo. Paise waste ho rahe hain.,sales,false,,,,hinglish example,"[""hinglish""]"
Encountering problems with the sidebar navigation.,technical_support,false,,,,v3 bulk tech3,"[""standard"", ""technical""]"
I love the product but I'm having a login issue.,account_issue,false,,,,v3 bulk multi,"[""multi_intent""]"
What features are in the enterprise tier?,product_question,false,,,,product feature question,"[""standard""]"
How does password policies affect my account?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
I'm furious. Someone hacked my account. Call me now.,account_issue,true,,,,multi-intent example,"[""multi_intent""]"
How does the reporting module work in your platform?,general_question,false,,,,bulk addition 4,"[""standard""]"
I want to cancel my subscription but first explain the refund policy,refund,false,,,,v3 multi-intent,"[""multi_intent""]"
Can I speak to a real person?,human_request,true,,,,human request,"[""escalation_positive"", ""human_request""]"
Email delivery is broken after the latest update.,technical_support,false,,,,bulk addition 4,"[""standard""]"
I don't consent to being contacted about this.,general_question,false,,,,v4 esc-,"[""hard_negative_escalation""]"
mujhe premium plan lena hai 50 logon ke liye,sales,false,,,,,"[""hinglish""]"
mera account ki security settings change karni hain,account_issue,false,,,,v3 bulk hinglish3,"[""hinglish""]"
I'd like to place an order for the team plan.,sales,false,,,,purchase intent,"[""standard"", ""sales""]"
Issue resolved itself. Close my support ticket.,technical_support,false,,,,bulk addition 3,"[""hard_negative_escalation""]"
mera account ka two-factor authentication reset karo,account_issue,false,,,,v3 bulk hinglish3,"[""hinglish""]"
What are the benefits of two-factor authentication?,general_question,false,,,,bulk addition 4,"[""standard""]"
kya free trial ke liye credit card chahiye?,general_question,false,,,,hinglish general question,"[""hinglish""]"
What is the purpose of accessibility options?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
Have a wonderful day!,other,false,,,,v3 balance,"[""standard""]"
how does the pricin werk for api,pricing,false,,,,v4 noisy,"[""noisy""]"
Can I restrict access by IP address?,general_question,false,,,,bulk addition,"[""standard""]"
Lost access to my work email and can't login.,account_issue,false,,,,account issue,"[""standard"", ""account""]"
i cnt figur out hw 2 reset passwrd,account_issue,false,,,,v3 noisy,"[""noisy""]"
my pasword reset isnt workng,account_issue,false,,,,spelling/noisy text,"[""noisy""]"
this servic is a scam,complaint,true,,,,v3 noisy,"[""noisy""]"
Get me a human. The bot is useless.,human_request,true,,,,human request,"[""escalation_positive"", ""human_request""]"
i dnt kno how 2 use this app,general_question,false,,,,spelling/noisy text,"[""noisy""]"
the search feature is not returnin any results,technical_support,false,,,,v3 bulk noisy3,"[""noisy""]"
What's the overage charge?,pricing,false,,,,pricing question,"[""standard"", ""pricing""]"
Help me understand your refund process.,refund,false,,,,bulk addition,"[""confusion_pair""]"
Don't process any refund. I was mistaken about the charge.,pricing,false,,,,v3 negation,"[""negation""]"
y r u chargin me so much,pricing,false,,,,v3 noisy,"[""noisy""]"
Please activate my premium features. I just paid.,sales,false,,,,purchase intent,"[""standard"", ""sales""]"
What should I know about file organization?,general_question,false,,,,v3 bulk gq3,"[""standard""]"
u guys charged me twice this month,pricing,true,,,,v4 noisy,"[""noisy""]"
Who won the cricket match yesterday?,other,false,,,,other / off-topic,"[""standard"", ""other""]"
the sarce bar is not wrking,technical_support,false,,,,spelling/noisy text,"[""noisy""]"
Sales team se baat karni hai.,sales,false,,,,hinglish sales,"[""hinglish""]"
How does email notifications work in your platform?,general_question,false,,,,v3 bulk gq,"[""standard""]"
Can I automate lead scoring?,product_question,false,,,,product feature question,"[""standard""]"
Having issues with report scheduling.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
How does your error handling work?,general_question,false,,,,v3 bulk confusion,"[""standard""]"
What happens if I cancel?,general_question,false,,,,v3 info vs action,"[""standard""]"
u guyz chargd me rong amnt,pricing,true,,,,v3 noisy,"[""noisy""]"
Can I switch plans mid-cycle?,pricing,false,,,,pricing question,"[""standard"", ""pricing""]"
mera auto payment band karo,sales,false,,,,v3 bulk hinglish,"[""hinglish""]"
i wana buy ur premium plan but the paymnt is not wrking,sales,true,,,,bulk addition,"[""noisy""]"
What do I need to know about the workflow builder?,general_question,false,,,,v3 bulk gq,"[""standard""]"
What's 2+2?,other,false,,,,other / off-topic,"[""standard"", ""other""]"
Webhook 503 error de raha hai.,technical_support,false,,,,hinglish technical support,"[""hinglish""]"
aapki app ka latest version kab aayega,product_question,false,,,,v3 bulk hinglish,"[""hinglish""]"
This has been going on for two weeks with no end in sight.,complaint,true,,,,v3 bulk esc+3,"[""escalation_positive""]"
No call required. A simple text answer will do.,general_question,false,,,,v3 bulk esc-3,"[""hard_negative_escalation""]"
y did u suspend my accnt without reason,account_issue,true,,,,v3 bulk noisy,"[""noisy""]"
I need help with pricing and my account is also locked,pricing,true,,,,v3 multi-intent,"[""multi_intent""]"
i wnt a human to call me ryt now,human_request,true,,,,bulk addition,"[""noisy""]"
Mujhe ek insaan chahiye. Bot se nahi kaam hoga.,human_request,true,,,,hinglish human request,"[""hinglish"", ""escalation_positive"", ""human_request""]"
Do I need to configure audit logging manually?,general_question,false,,,,bulk addition 4,"[""standard""]"
Every time I try to save my work the page crashes,technical_support,false,,,,v3 confusion: tech vs complaint,"[""standard""]"
aapki pricing page par GST clear nahi hai,pricing,false,,,,v3 bulk hinglish,"[""hinglish""]"
Your company's standards have dropped badly.,complaint,false,,,,general complaint,"[""standard"", ""complaint""]"
mujhe aapka product pasand hai but price zyada hai,pricing,false,,,,,"[""hinglish"", ""multi_intent""]"
kya isme auto backup feature hai,product_question,false,,,,,"[""hinglish""]"
i payd for premimum but got basic features,account_issue,true,,,,bulk addition 2,"[""noisy""]"
Tell me about pricing for onboarding assistance.,pricing,false,,,,v3 bulk pricing2,"[""standard"", ""pricing""]"
Can you guide me through security options?,general_question,false,,,,v3 bulk gq3,"[""standard""]"
What are the benefits of the calendar sync?,general_question,false,,,,v3 bulk gq,"[""standard""]"
This is causing a cascading failure in our infrastructure.,technical_support,true,,,,v3 bulk esc+,"[""escalation_positive""]"
Two accounts got merged erroneously.,account_issue,true,,,,bulk addition 3,"[""standard""]"
hw can i get a refund for my plan,refund,false,,,,v4 noisy,"[""noisy""]"
Your support team is useless.,complaint,false,,,,general complaint,"[""standard"", ""complaint""]"
This is a production outage. We are losing money every minute.,technical_support,true,,,,v3 esc hard pos,"[""escalation_positive""]"
mera payment method update nahi ho raha,account_issue,false,,,,,"[""hinglish""]"
the attachment preview has a bug that needs fixing.,technical_support,false,,,,v3 bulk tech3,"[""standard"", ""technical""]"
Can audit logging be disabled?,general_question,false,,,,bulk addition 4,"[""standard""]"
ur chargin me wrng ammount,pricing,true,,,,v3 noisy,"[""noisy""]"
Is there a built-in reporting tool?,product_question,false,,,,v3 balance3,"[""standard""]"
Do you offer different pricing tiers for dedicated support?,pricing,false,,,,v3 bulk pricing2,"[""standard"", ""pricing""]"
wht do i do if i 4get my username,general_question,false,,,,v3 bulk noisy,"[""noisy""]"
What happens if I don't renew in time?,general_question,false,,,,bulk addition,"[""standard""]"
This is fraud. I want every cent back.,refund,true,,,,bulk addition,"[""standard""]"
I need my money refunded today.,refund,true,,,,refund demand,"[""escalation_positive"", ""refund""]"
wnt to buy prem but paymnt not wrk,sales,true,,,,bulk addition 3,"[""noisy""]"
Itne paise mein aur aaisa experience.,complaint,false,,,,hinglish complaint,"[""hinglish""]"
What should I know about the account setup?,general_question,false,,,,v3 bulk gq3,"[""standard""]"
The webhook integration keeps failing.,technical_support,false,,,,bulk addition 4,"[""standard""]"
my notifcatns are not workin,technical_support,false,,,,v4 noisy,"[""noisy""]"
cn u call me pls,human_request,true,,,,v3 noisy,"[""noisy""]"
i wnt my subscription canclled immedietly,sales,false,,,,v3 bulk noisy,"[""noisy""]"
What do I need to know about the analytics dashboard?,general_question,false,,,,v3 bulk gq,"[""standard""]"
I'm considering legal options if this isn't fixed.,complaint,true,,,,escalation hard positive,"[""escalation_positive"", ""hard_positive""]"
Account?,account_issue,false,,,,very short message,[]
knowledge base search is causing errors in my workflow.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
the setup wizard is stuck at step 3 pls help,technical_support,false,,,,v3 bulk noisy3,"[""noisy""]"
"No calls, no emails, no follow up. Got it?",general_question,false,,,,v4 esc-,"[""hard_negative_escalation""]"
Need a human to help with purchase and also technical setup.,sales,false,,,,v3 bulk multi3,"[""multi_intent""]"
What is the cost of data backup?,pricing,false,,,,v3 bulk pricing,"[""standard"", ""pricing""]"
The backup system is broken after the latest update.,technical_support,false,,,,v3 bulk tech,"[""standard"", ""technical""]"
Tell me about pricing for team collaboration.,pricing,false,,,,v3 bulk pricing2,"[""standard"", ""pricing""]"
Hi I am writing because I have a very urgent issue. I am about to give a demo to a potential client in 2 hours and your platform just went down. I cannot access any of my data and I have no idea what to show the client. This is extremely embarrassing for me and potentially a lost business opportunity. I need this fixed immediately. My entire presentation depends on your platform working. Please please help me as soon as possible. This is time critical.,technical_support,true,,,,long message,"[""long""]"
Payment issue that needs a human to resolve.,technical_support,true,,,,v3 bulk multi,"[""multi_intent""]"
ur bot is so stupd i need a real person,human_request,true,,,,bulk addition 5,"[""noisy""]"
aapki app par mujhe koi error aa raha hai fix karo,technical_support,false,,,,v3 bulk hinglish3,"[""hinglish""]"
Hinglish: refund do.,refund,true,,,,v4 short,"[""hinglish""]"
Is there a Gantt chart view?,product_question,false,,,,v3 balance,"[""standard""]"
You have exposed my personal data due to this security flaw.,account_issue,true,,,,v3 bulk esc+,"[""escalation_positive""]"
I cannot access my account from any device. It says forbidden.,technical_support,false,,,,v3 confusion: general vs tech,"[""standard""]"
Current provider se migrate karne mein help karo.,sales,false,,,,hinglish sales,"[""hinglish""]"
aapki website par 500 error aa raha hai,technical_support,false,,,,,"[""hinglish""]"
Product question: does this integrate with Slack? Also how much?,product_question,false,,,,multi-intent example,"[""multi_intent""]"
Is there a tutorial for the calendar sync?,general_question,false,,,,v3 bulk gq,"[""standard""]"
i sent 10 emails n no1 replid,complaint,true,,,,bulk addition 5,"[""noisy""]"
How do I contact your support team?,general_question,false,,,,v3 info vs action,"[""standard""]"
Your product broke and I want someone to fix it.,technical_support,false,,,,bulk addition 5,"[""confusion_pair""]"
How is data migration priced?,pricing,false,,,,v3 bulk pricing2,"[""standard"", ""pricing""]"
I get a blank white screen when I open the analytics tab,technical_support,false,,,,v3 confusion: tech vs complaint,"[""standard""]"
Payment issue resolved ho gaya. Ab sab sahi hai.,technical_support,false,,,,v3 resolution hinglish,"[""resolution_state"", ""hinglish""]"
Email delivery is not working.,technical_support,false,,,,v3 bulk tech,"[""standard"", ""technical""]"
My refund request was processed in time. Thank you.,refund,false,,,,v3 resolution,"[""resolution_state""]"
We're ready to move forward with your solution.,sales,false,,,,purchase intent,"[""standard"", ""sales""]"
mujhe aapke software ki trial chahiye,sales,false,,,,,"[""hinglish""]"
What are the benefits of content scheduling?,general_question,false,,,,v3 bulk gq,"[""standard""]"
How does the sentiment analysis work?,product_question,false,,,,product feature question,"[""standard""]"
Encountering problems with the tag system.,technical_support,false,,,,v3 bulk tech3,"[""standard"", ""technical""]"
What's the pricing for additional users?,pricing,false,,,,bulk addition 4,"[""standard""]"
Can you guide me through subscription management?,general_question,false,,,,v3 bulk gq3,"[""standard""]"
Your product quality has degraded noticeably over time.,complaint,false,,,,v3 balance3,"[""standard""]"
mujhe aapke yaha bulk messaging feature chahiye,product_question,false,,,,,"[""hinglish""]"
Can I create custom fields?,product_question,false,,,,product feature question,"[""standard""]"
Annual plan pe kya discount milega?,pricing,false,,,,hinglish pricing,"[""hinglish""]"
Aapne mujhe galat plan charge kiya hai.,pricing,true,,,,hinglish example,"[""hinglish""]"
The The search bar feature is causing errors.,technical_support,false,,,,bulk addition 4,"[""standard""]"
What are the additional costs for extra storage?,pricing,false,,,,pricing question,"[""standard"", ""pricing""]"
Tell me your pricing but not too pushy please.,pricing,false,,,,bulk addition,"[""confusion_pair""]"
Please connect me to your senior management.,human_request,true,,,,bulk addition,"[""standard""]"
ur servis quality went downhil since last year,complaint,false,,,,v3 bulk noisy3,"[""noisy""]"
Where can I find documentation about the API?,general_question,false,,,,bulk addition 4,"[""standard""]"
I need information about billing history.,general_question,false,,,,v3 bulk gq3,"[""standard""]"
Aapki support team bekar hai.,complaint,false,,,,hinglish complaint,"[""hinglish""]"
mera account ki billing cycle change karo,pricing,false,,,,v3 bulk hinglish3,"[""hinglish""]"
Can I customize bulk operations?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
